"filename", "language", "JavaScript", "Vue", "SCSS", "CSS", "comment", "blank", "total"
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/lang/en.js", "JavaScript", 461, 0, 0, 0, 29, 25, 515
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/lang/lang.js", "JavaScript", 34, 0, 0, 0, 0, 14, 48
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/lang/zh.js", "JavaScript", 458, 0, 0, 0, 29, 24, 511
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/main.js", "JavaScript", 38, 0, 0, 0, 6, 11, 55
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/mock/mock.js", "JavaScript", 7, 0, 0, 0, 0, 2, 9
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/mock/mockdata.js", "JavaScript", 12, 0, 0, 0, 0, 1, 13
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/models/file-md5.js", "JavaScript", 31, 0, 0, 0, 0, 10, 41
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/models/file-url.js", "JavaScript", 11, 0, 0, 0, 0, 1, 12
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/plugins/js-spark-md5.js", "JavaScript", 501, 0, 0, 0, 162, 112, 775
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/router/index.js", "JavaScript", 7, 0, 0, 0, 0, 4, 11
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/router/route.js", "JavaScript", 303, 0, 0, 0, 5, 18, 326
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/style/global.css", "CSS", 0, 0, 0, 9, 2, 4, 15
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/style/mixin.scss", "SCSS", 0, 0, 52, 0, 0, 9, 61
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/vuex/actions.js", "JavaScript", 15, 0, 0, 0, 0, 3, 18
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/vuex/getters.js", "JavaScript", 3, 0, 0, 0, 1, 2, 6
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/vuex/mutations.js", "JavaScript", 15, 0, 0, 0, 0, 4, 19
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/vuex/state.js", "JavaScript", 7, 0, 0, 0, 0, 2, 9
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/vuex/store.js", "JavaScript", 13, 0, 0, 0, 0, 3, 16
"Total", "-", 3615, 18081, 575, 9, 459, 1728, 24467
